accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
-9217, 27648, -5120, 31744, -13570, 16894, -17135, 3840, -27631, -1060
-9217, 27648, -5120, 31744, -13058, 17150, -16623, 6912, -27631, -804
-1793, 24320, -12032, 32256, -13058, 17150, -16879, 9216, -27631, -548
-1793, 24320, -12032, 32256, -13058, 17406, -16623, 8704, -27375, -292
-9217, 28160, -4608, -32256, -12290, 17406, -15599, 5120, -25839, 221
-9217, 28160, -4608, -30976, -12290, 17406, -15343, 4608, -25327, 477
-9217, 28160, -4608, -30976, -12290, 17406, -15087, 4864, -25071, 733
-8193, 26880, -8960, -30976, -12034, 17662, -14063, 6656, -25327, 1245
-8193, 26880, -8960, -29440, -12034, 17662, -13551, 6656, -25583, 1501
-10497, 24832, -11264, -29440, -11266, 17406, -13039, 5888, -25583, 1757
-10497, 24832, -11264, -28928, -11266, 17406, 256, 4352, -25583, 2013
-13825, 24576, -7168, -28416, -11778, 17406, 1280, 5632, -26351, 2525
-13825, 24576, -7168, -28416, -11266, 17662, 1280, 6144, -26607, 2781
-13825, 24576, -7168, -27392, -11266, 17662, 1280, 5376, -26863, 3037
-17921, 27136, -3584, -27136, -11778, 18174, 1024, 4864, -27631, 3549
-17921, 27136, -3584, -27136, -11266, 17918, 1024, 5632, -28399, 3805
-19969, 24576, -4864, -25856, -11266, 17918, 256, 6144, -29167, 4061
-19969, 24576, -4864, -25856, -10754, 18430, 0, 5888, -30191, 4317
-19969, 24576, -4864, -25344, -10754, 18430, -12783, 5376, -30959, 4573
-23297, 22528, -2048, -25344, -11010, 18430, -13039, 5120, -31727, 4829
-23297, 22528, -2048, -24576, -11010, 18430, -13551, 4864, -32751, 5085
-23297, 22528, -2048, -24576, -10498, 18174, -14063, 4096, 32017, 5341
-23297, 23552, -2304, -23040, -10498, 18174, -14575, 3584, 31249, 5597
-23297, 23552, -2304, -23040, -9986, 18174, -14831, 3072, 31249, 5853
